Item Name,Item Type,Item Price,Store Name,Dietary Restrictions,,Icon Location
small beef noodle soup,Soups,8.2,Oriental Wok,Lactose Free; Nut Free;Seafood Free;,,images/soup.png
large beef noodle soup,Soups,10.25,Oriental Wok,Lactose Free; Nut Free;Seafood Free;,,images/soup.png
small shrimp noodle soup,Soups,8.2,Oriental Wok,Lactose Free; Nut Free;,,images/soup.png
large shrimp noodle soup,Soups,10.25,Oriental Wok,Lactose Free; Nut Free;,,images/soup.png
small chicken noodle soup,Soups,7.15,Oriental Wok,Lactose Free; Nut Free;Seafood Free;,,images/soup.png
large chicken noodle soup,Soups,8.1,Oriental Wok,Lactose Free; Nut Free;Seafood Free;,,images/soup.png
rice and chowmein plus 1 item combo,Combo,8.85,Oriental Wok,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/combo.png
rice and chowmein plus 2 item combo,Combo,9.85,Oriental Wok,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/combo.png
rice and chowmein plus 3 item combo,Combo,10.85,Oriental Wok,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/combo.png
choose two special,Combo,3.7,Oriental Wok,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,"fried rice, chowmein, spring roll, 2 dumplings choose 2 items",images/combo.png
small fountain drink,Cold Beverages,2.09,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
regular fountain drink,Cold Beverages,2.29,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
small lemonade,Cold Beverages,2.39,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
large lemonade,Cold Beverages,2.79,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
teen burger,Burgers,6.69,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
double teen burger,Burgers,7.99,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
mozza burger,Burgers,6.69,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
double mozza burger,Burgers,7.99,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
beyond meat burger,Burgers,6.99,A & W,Lactose Free; Nut Free; Halal;Seafood Free; Vegetarian,add $4 for a drink and fries combo ,images/burger.png
uncle burger,Burgers,8.49,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
momma burger,Burgers,5.19,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
papa burger,Burgers,6.49,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
grandpa burger,Burgers,7.79,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
chubby chicken burger,Burgers,6.69,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
spicy habenero burger,Burgers,6.69,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
blt chicken burger,Burgers,7.29,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/burger.png
buddy burger,Burgers,1.99,A & W,Lactose Free; Nut Free; Seafood Free;,With real cheddar for $2.74,images/burger.png
double buddy burger,Burgers,2.99,A & W,Lactose Free; Nut Free; Seafood Free;,With real cheddar for $3.74,images/burger.png
chicken buddy burger,Burgers,2.59,A & W,Lactose Free; Nut Free; Seafood Free;,,images/burger.png
double chicken buddy burger,Burgers,3.59,A & W,Lactose Free; Nut Free; Seafood Free;,,images/burger.png
3 chicken strips,Snacks,6.69,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/snack.png
5 chicken strips,Snacks,8.89,A & W,Lactose Free; Nut Free; Seafood Free;,add $4 for a drink and fries combo ,images/snack.png
fries,Snacks,2.99,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/snack.png
onion rings,Snacks,4.19,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/snack.png
sweet potato fries,Snacks,3.49,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/snack.png
poutine,Snacks,4.99,A & W,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/sweet.png
hot apple turnover,Sweets,1,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/sweet.png
hot peach turnover,Sweets,1,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Vegetarian;,,images/sweet.png
root beer float,Sweets,3.29,A & W,Nut Free; Halal; Seafood Free;Vegetarian;,,images/sweet.png
english muffin sausage and egger,Breakfast,4.39,A & W,Lactose Free; Nut Free; Seafood Free;,,images/breakfast.png
english muffin bacon and egger,Breakfast,4.39,A & W,Lactose Free; Nut Free; Seafood Free;,,images/breakfast.png
sausage and egger,Breakfast,4.39,A & W,Lactose Free; Nut Free; Seafood Free;,,images/breakfast.png
bacon and egger,Breakfast,4.39,A & W,Lactose Free; Nut Free; Seafood Free;,,images/breakfast.png
english muffin beyond meat sausage and egger,Breakfast,5.39,A & W,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/breakfast.png
small caramel macchiato espresso,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium caramel macchiato espresso,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large caramel macchiato espresso,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small toffee nut latte,Hot Beverages,4.35,Coffee Company,Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
meduim toffee nut latte,Hot Beverages,4.95,Coffee Company,Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large toffee nut latte,Hot Beverages,5.35,Coffee Company,Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small hedge hog latte,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium hedge hog latte,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large hedge hog latte,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small irish cream cappaccino,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium irish cream cappaccino,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large irish cream cappaccino,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small raspberry white choco mocha,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium raspberry white choco mocha,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large raspberry white choco mocha,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small german mocha,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium german mocha,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large german mocha,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small coffee mocha,Hot Beverages,4.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium coffee mocha,Hot Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large coffee mocha,Hot Beverages,5.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small latte/ cappaccino,Hot Beverages,3.85,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium latte/ cappaccino,Hot Beverages,4.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large latte/ cappaccino,Hot Beverages,4.85,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small americano,Hot Beverages,2.85,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
medium americano,Hot Beverages,3.6,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large americano,Hot Beverages,3.75,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
single shot espresso,Hot Beverages,2.3,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
double shot espresso,Hot Beverages,2.6,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
small steeped tea,Hot Beverages,1.75,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
medium steeped tea,Hot Beverages,2,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
large steeped tea,Hot Beverages,2.25,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
organic full leaf tea,Hot Beverages,2.5,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
stash tea,Hot Beverages,2,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
medium honey tea,Hot Beverages,3.5,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/hot beverage.png
large honey tea,Hot Beverages,4,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,Availabe in three flavours citron ginger and grape fruit,images/hot beverage.png
small mild/dark/flavoured brewed coffee,Hot Beverages,2.1,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
medium mild/dark/flavoured brewed coffee,Hot Beverages,2.5,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
large mild/dark/flavoured brewed coffee,Hot Beverages,2.8,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
small java jolt brewed coffee,Hot Beverages,2.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,espresso and coffee,images/hot beverage.png
medium java jolt brewed coffee,Hot Beverages,3.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,espresso and coffee,images/hot beverage.png
large java jolt brewed coffee,Hot Beverages,3.75,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,espresso and coffee,images/hot beverage.png
small café misto brewed coffee,Hot Beverages,2.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and steamed milk,images/hot beverage.png
medium café misto brewed coffee,Hot Beverages,3.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and steamed milk,images/hot beverage.png
large café misto brewed coffee,Hot Beverages,3.75,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and steamed milk,images/hot beverage.png
small half mocha,Hot Beverages,2.3,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and chocolate,images/hot beverage.png
medium half mocha,Hot Beverages,2.6,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and chocolate,images/hot beverage.png
large half mocha,Hot Beverages,2.9,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,coffee and chocolate,images/hot beverage.png
small cocoa (milk),Hot Beverages,3.65,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
medium cocoa (milk),Hot Beverages,3.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
large cocoa (milk),Hot Beverages,4.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
small chocolate (h20),Hot Beverages,2.3,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
medium chocolate (h20),Hot Beverages,2.6,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
large chocolate (h20),Hot Beverages,2.9,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
small french vanilla ,Hot Beverages,2.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
medium french vanilla ,Hot Beverages,2.75,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
large french vanilla ,Hot Beverages,3.15,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
london fog tea latte,Hot Beverages,4.15,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian,,images/hot beverage.png
matcha tea,Hot Beverages,4.15,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
chai tea,Hot Beverages,4.15,Coffee Company,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/hot beverage.png
milk tea,Cold Beverages,4.15,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
coffee frapp,Cold Beverages,4.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
mocha frapp,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
chocolate chai frapp,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
english toffee frapp,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
choco banana frapp,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
raspberry frapp,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
match green tea frapp,Cold Beverages,5.75,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
frozen hot chocolate,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
iced caramel macchiato,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
iced white chocolate,Cold Beverages,5.45,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
iced americano,Cold Beverages,3.95,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
iced coffee,Cold Beverages,3.35,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
iced honey tea,Cold Beverages,4.25,Coffee Company,Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;,,images/cold beverage.png
bbq beef combo,BBQ,10.95,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq spicy beef combo,BBQ,10.95,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq chicken combo,BBQ,10.95,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq spicy chicken combo,BBQ,10.95,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq short ribs combo,BBQ,12.99,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq spicy short ribs combo,BBQ,12.99,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq chicken and beef combo,BBQ,11.38,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq spicy chicken and beef combo,BBQ,11.38,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq salmon and shrimp combo,Seafood,13.59,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/seafood.png
bbq basa fillet and shrimp,Seafood,13.59,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/seafood.png
bbq shrimp dinner,Seafood,13.59,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/seafood.png
bbq beef noodle salad,Salad,11.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq chicken noodle salad,Salad,11.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq beef and chicken noodle salad,Salad,11.69,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq shrimp noodle salad,Seafood,13.29,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/salad.png
bbq beef curry,Seafood,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/seafood.png
bbq chicken curry,Seafood,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/seafood.png
bbq shrimp curry,Seafood,13.29,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/seafood.png
bbq beef salad,Salad,11.29,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq chicken salad,Salad,11.29,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq beef and chicken salad,Salad,11.99,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/salad.png
bbq shrimp salad,Seafood,13.29,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/salad.png
bbq beef noodle soup,Soups,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/soup.png
bbq chicken noodle soup,Soups,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/soup.png
bbq seafood noodle soup,Soups,11.29,Korean BBQ House,Lactose Free; Nut Free;Gluten Free; ,,images/soup.png
bbq spicy beef noodle soup,Soups,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/soup.png
bbq spicy chicken noodle soup,Soups,10.19,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/soup.png
bbq skewed beef,BBQ,11.79,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq skewed chicken breast,BBQ,11.99,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/bbq.png
bbq beef wrap,Wraps,9.29,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/wrap.png
bbq chicken wrap,Wraps,9.29,Korean BBQ House,Lactose Free; Nut Free;Seafood Free;Gluten Free; ,,images/wrap.png
pop bottle,Cold Beverages,2.45,Korean BBQ House,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
iced tea bottle,Cold Beverages,2.45,Korean BBQ House,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
juice bottle,Cold Beverages,2.45,Korean BBQ House,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
gatorade,Cold Beverages,2.75,Korean BBQ House,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
monster energy,Cold Beverages,3.5,Korean BBQ House,Lactose Free; Nut Free; Halal; Seafood Free;Gluten Free; Vegetarian;Vegan,,images/cold beverage.png
famous star burger,Burgers,5.49,Carl's Jr,Lactose Free; Nut Free; Seafood Free;,add $4 for a combo which includes a medium drink and fries,images/burger.png
western bacon burger,Burgers,6.79,Carl's Jr,Lactose Free; Nut Free; Seafood Free;,add $4 for a combo which includes a medium drink and fries,images/burger.png
portobello burger,Burgers,7.99,Carl's Jr,Lactose Free; Nut Free; Seafood Free;,add $4 for a combo which includes a medium drink and fries,images/burger.png
